Date,Close,High,Low,Open,Volume
2023-12-27,162.01937866210938,162.08633582610224,160.27868211998862,160.52734888486975,6428600
2023-12-28,162.88018798828125,163.22450370195824,161.63682487811562,161.97158153646015,6320100
2023-12-29,162.6889190673828,163.25320985527807,162.23939532950587,162.59327012971494,6435100
2024-01-02,164.5826416015625,164.6687168855403,161.5507572049703,161.72290777292585,9977400
2024-01-03,163.86529541015625,164.54435312498538,162.94711539450026,164.3722025811615,9852300
2024-01-04,164.95274353027344,166.8196633034986,164.1155076901761,164.21174642065995,11972500
2024-01-05,165.7803497314453,166.848535049971,165.01048392534204,165.01048392534204,10066000
2024-01-08,165.53976440429688,165.86695259331466,163.1050743016004,165.53976440429688,11229900
2024-01-09,164.23098754882812,165.31840878339418,163.6920859309958,165.1548146982642,9923600
2024-01-10,164.5774383544922,164.63517572002957,162.58541113963955,163.5958590884502,9670200
2024-01-11,163.8845672607422,163.94230462862615,162.28709822409536,163.91343594468418,11919500
2024-01-12,162.68165588378906,169.66815636742214,162.53729778064167,167.252716821371,19436500
2024-01-16,161.6615753173828,161.75779936016653,158.11058068617544,158.65910031355008,17206400
2024-01-17,160.7954559326172,162.70087682121664,160.2180676774992,161.03603804324135,11107500
2024-01-18,161.11305236816406,161.2189091014691,159.01518306953383,160.82435085151675,9382300
2024-01-19,163.89418029785156,164.1443951297312,160.7858630544763,161.23815866783056,13115700
2024-01-22,163.70172119140625,165.5012710015571,163.31679561921408,164.0385420800514,12837500
2024-01-23,162.62391662597656,163.3552810812602,162.09463295519336,163.2782930306036,8360800
2024-01-24,164.07701110839844,164.5677933627289,162.49879293788166,162.9799571933315,9967100
2024-01-25,166.4251251220703,166.47324449311114,164.47159906637017,165.81885335169082,8873500
2024-01-26,165.78994750976562,166.54056254107272,165.30878327513454,166.1075176666982,7443000
2024-01-29,166.22300720214844,166.3288639305626,164.84688441673282,165.7514756079141,6971200
2024-01-30,169.629638671875,170.10117021096377,166.31922648022297,166.31922648022297,10822100
2024-01-31,167.79159545898438,171.58317204444924,167.77234477774746,169.56227634962798,11521800
2024-02-01,167.18533325195312,168.25351851940997,164.97197467171296,167.0987272074489,9354800
2024-02-02,168.1476593017578,169.19660855532078,166.7330351932711,166.77153655734813,8607600
2024-02-05,167.9263458251953,168.49411619237137,166.4058648287132,167.31045608975683,7820200
2024-02-06,168.50375366210938,169.24473615531153,167.2142221023115,168.0322073340962,6764800
2024-02-07,168.82130432128906,169.24473126744437,167.40669474604408,169.07151916254605,7225500
2024-02-08,168.2150421142578,168.70582441372977,167.03138204849066,168.40750489734666,6060300
2024-02-09,168.41712951660156,168.50375025376985,167.12761266685683,168.40751151645827,6296700
2024-02-12,169.16773986816406,170.14931916174322,167.15647659768763,168.19579325842392,8539300
2024-02-13,167.69537353515625,169.5911620177937,166.11715524688623,168.7154541673526,8397600
2024-02-14,169.39871215820312,169.46608221243557,167.84936243452663,168.47488487137227,7056700
2024-02-15,173.09400939941406,173.42121222428344,169.51414647762599,169.51414647762599,8723400
2024-02-16,172.28567504882812,173.19988421286885,171.4484539290391,172.84382735667683,8152600
2024-02-20,172.9593048095703,173.66181521796128,171.68903876929863,172.43965385763377,9668000
2024-02-21,174.08523559570312,174.1718563283898,171.79490354267645,173.1710263744216,7024000
2024-02-22,176.1735076904297,176.51031389738972,174.4124445519668,174.97059691420935,9296500
2024-02-23,177.05886840820312,178.22327794906641,176.28900248702075,176.88564160105082,7105800
2024-02-26,176.45257568359375,177.51114303518028,175.60572180232452,176.82788325661636,7145400
2024-02-27,176.53916931152344,176.6257753567488,175.37475999068926,176.40444390207233,5717100
2024-02-28,177.4341583251953,178.22326016980873,176.0676534263031,176.51993437525894,6131600
2024-02-29,179.05084228515625,179.406899139091,176.92410447656243,178.66591675030617,9643000
2024-03-01,178.3098602294922,179.41654693233417,178.12703012961975,178.704418480522,6311800
2024-03-04,179.64749145507812,180.5232139830772,177.32829074756444,177.7517176702879,7063600
2024-03-05,181.44705200195312,182.1687984182823,179.33955011683693,179.33955011683693,6617800
2024-03-06,182.39012145996094,182.90978707876573,180.56170316320092,182.12067065167983,7572900
2024-03-07,180.7926788330078,183.3236078821674,179.59940070437642,182.75583750264312,7618300
2024-03-08,181.12948608398438,183.28510738443455,180.84078457385738,181.3411995458129,6172200
